Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
432,Kemba Walker\walkeke02,PG,29,BOS,19,19,32.3,7.1,17.3,0.409,3.5,8.9,0.396,3.5,8.4,0.421,0.511,4.3,4.7,0.911,1.1,3.6,4.7,5.1,0.9,0.5,2.1,1.7,21.9
433,Lonnie Walker\walkelo01,SG,21,SAS,15,0,7.7,1.7,3.8,0.456,0.4,0.9,0.429,1.3,2.9,0.465,0.509,0.3,0.9,0.385,0.3,0.9,1.1,0.4,0.3,0.1,0.3,0.7,4.2
434,Tyrone Wallace\wallaty01,SG,25,ATL,14,0,11.4,1,3.1,0.318,0.1,1.1,0.067,0.9,2.1,0.448,0.33,0.8,1.2,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
435,Taurean Waller-Prince\princta02,SF,25,BRK,21,21,30.3,4.9,11.9,0.408,2.9,7,0.405,2,4.9,0.412,0.528,0.9,1.3,0.704,0.9,5.1,6,2,0.9,0.4,2.1,2.7,13.5
436,Derrick Walton\waltode01,PG,24,LAC,6,0,3.7,0.3,0.7,0.5,0.2,0.5,0.333,0.2,0.2,1,0.625,0,0,,0,0,0,0.5,0,0,0.2,0.7,0.8
437,Brad Wanamaker\wanambr01,PG,30,BOS,20,0,17.5,2.5,5,0.49,0.6,1.4,0.407,1.9,3.7,0.521,0.545,2.2,2.4,0.915,0.5,1.7,2.1,2.9,0.8,0.2,1.2,1.8,7.6
438,T.J. Warren\warretj01,SF,26,IND,21,21,33.1,7.3,14.4,0.508,1.3,3.1,0.409,6,11.3,0.536,0.553,2.1,2.6,0.815,0.7,2.7,3.4,1.1,1.1,0.3,1.4,2.7,18
439,PJ Washington\washipj01,PF,21,CHO,23,23,27.9,4.5,9,0.5,1.3,3,0.429,3.2,5.9,0.537,0.573,1.4,2.2,0.64,0.9,4.1,5,1.7,1.1,0.7,1.2,2.7,11.7
440,Yuta Watanabe\watanyu01,SG,25,MEM,2,0,3.5,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0,0,,0,0.5,0.5,0,0,0,0,0.5,2
441,Tremont Waters\watertr01,PG,22,BOS,1,0,20,2,7,0.286,1,5,0.2,1,2,0.5,0.357,2,2,1,0,2,2,3,1,2,2,2,7
442,Russell Westbrook\westbru01,PG,31,HOU,18,18,34.1,8.1,19.7,0.41,1.2,5.3,0.229,6.8,14.3,0.477,0.441,4.6,6.2,0.732,1.4,6.4,7.8,7.1,1.5,0.3,4.3,4.1,21.9
443,Coby White\whiteco01,SG,19,CHI,22,0,25,4.5,12.4,0.363,2,6,0.333,2.5,6.4,0.39,0.443,1.4,1.8,0.775,0.3,3.3,3.5,2.1,0.8,0,1.4,1.4,12.4
444,Derrick White\whitede01,SG,25,SAS,20,8,24,3.6,7.5,0.473,1,2.5,0.408,2.6,5.1,0.505,0.54,2.1,2.6,0.788,0.6,1.8,2.4,3,0.5,0.7,1.2,2.5,10.2
445,Hassan Whiteside\whiteha01,C,30,POR,19,19,27.8,6.2,10.4,0.599,0,0,,6.2,10.4,0.599,0.599,2.9,3.8,0.753,3.6,9,12.6,1.2,0.4,2.2,2.1,3,15.3
446,Andrew Wiggins\wiggian01,SF,24,MIN,17,17,34.8,9.3,20.6,0.45,2.3,6.6,0.345,7,14,0.5,0.506,4,5.6,0.716,1.3,4.1,5.4,3.4,0.6,1.3,1.9,2.4,24.9
447,Grant Williams\willigr01,PF,21,BOS,19,1,15,0.7,2.8,0.259,0,1.2,0,0.7,1.7,0.438,0.259,0.7,0.9,0.824,0.7,1.6,2.3,0.9,0.4,0.6,0.8,1.9,2.2
448,Kenrich Williams\willike04,PF,25,NOP,19,11,24.7,2.1,4.8,0.429,1.1,3,0.351,1,1.8,0.559,0.538,0.4,1,0.421,1.7,4.2,5.9,1.8,0.9,0.7,0.8,2.7,5.6
449,Lou Williams\willilo02,SG,33,LAC,22,3,31.3,6.8,16,0.423,1.8,4.9,0.361,5,11.1,0.451,0.479,5.8,6.9,0.848,0.5,2.9,3.4,6.3,0.6,0.1,3.2,1.5,21.1
450,Marvin Williams\willima02,PF,33,CHO,23,0,20.5,2.7,5.5,0.5,1.3,3.2,0.405,1.4,2.3,0.635,0.619,1.1,1.2,0.893,0.4,2.4,2.8,1,0.7,0.4,0.7,1.7,7.9
451,Robert Williams\williro04,C,22,BOS,18,1,14.2,1.8,2.7,0.688,0,0,,1.8,2.7,0.688,0.688,0.4,0.8,0.571,1.3,3.4,4.7,1.2,0.9,1.2,0.9,1.8,4.1
452,Nigel Williams-Goss\willini01,PG,25,UTA,6,0,3.2,0,0.8,0,0,0.2,0,0,0.7,0,0,0.3,0.3,1,0.2,0.2,0.3,0.3,0,0.2,0.2,0.2,0.3
453,D.J. Wilson\wilsodj01,PF,23,MIL,10,0,11.8,2.2,4.3,0.512,1,2.8,0.357,1.2,1.5,0.8,0.628,0.1,0.1,1,0.4,2,2.4,0.9,0,0.1,0.5,1,5.5
454,Justise Winslow\winslju01,SF,23,MIA,10,5,33.7,5,12.7,0.394,0.6,2.6,0.231,4.4,10.1,0.436,0.417,1.8,2.7,0.667,1.6,5.5,7.1,4.3,0.6,0.4,2.3,3.6,12.4
455,Christian Wood\woodch01,PF,24,DET,20,0,14.9,3.4,5.4,0.62,0.7,1.5,0.448,2.7,4,0.684,0.681,1.5,2.3,0.667,1.2,3.3,4.5,0.6,0.4,0.9,0.8,0.8,8.9
456,Delon Wright\wrighde01,SG,27,DAL,21,2,22,3,6.1,0.481,0.6,1.8,0.351,2.3,4.4,0.533,0.531,1.3,1.6,0.824,0.8,2.8,3.6,3.5,1.2,0.3,0.7,1.2,7.9
457,Thaddeus Young\youngth01,PF,31,CHI,22,0,21.2,3.5,8.6,0.4,1.1,3.3,0.333,2.4,5.4,0.441,0.463,0.8,1.3,0.586,1.7,2.6,4.3,1.6,1,0.3,1.6,1.6,8.8
458,Trae Young\youngtr01,PG,21,ATL,21,21,34.6,9.5,20.5,0.463,3.4,8.7,0.393,6,11.8,0.514,0.547,6.3,7.4,0.853,0.5,3.5,4,8.4,1.3,0,5,1.2,28.7
459,Cody Zeller\zelleco01,C,27,CHO,20,17,23.7,4.4,8.5,0.521,0.6,1.7,0.353,3.8,6.8,0.563,0.556,1.6,2.5,0.653,3.1,4.8,7.8,1.2,0.5,0.4,1.6,2.5,11
460,Ante Žižić\zizican01,C,23,CLE,6,0,11.7,1.8,3.5,0.524,0,0,,1.8,3.5,0.524,0.524,0.7,0.8,0.8,1,1.8,2.8,0,0.2,0.2,0.2,1.3,4.3
461,Ivica Zubac\zubaciv01,C,22,LAC,22,20,16,3.1,5.2,0.591,0,0,0,3.1,5.2,0.596,0.591,1.9,2.3,0.82,2.2,4.2,6.4,0.8,0.2,1.1,0.9,2.5,8
