Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
345,Miye Oni\onimi01,SG,22,UTA,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0.5,0,0
346,Cedi Osman\osmande01,SF,24,CLE,20,20,29.9,3.6,8.4,0.429,1.6,4.4,0.368,2,4.1,0.494,0.524,1,1.4,0.679,0.5,3.2,3.6,2.1,1,0.3,1.3,2.4,9.8
347,Kelly Oubre\oubreke01,SF,24,PHO,20,20,31,6,13.1,0.458,1.6,4.6,0.341,4.5,8.6,0.52,0.517,3.8,4.7,0.798,1.3,4.4,5.7,1.7,1.4,0.6,1.5,3.2,17.3
348,Jabari Parker\parkeja01,PF,24,ATL,22,17,28,6.6,13.3,0.498,1,3.8,0.262,5.6,9.5,0.593,0.536,1.8,2.5,0.722,1.9,4.4,6.3,1.9,1.5,0.5,1.9,3.2,16
349,Chandler Parsons\parsoch01,SF,31,ATL,3,0,11.7,1.3,4,0.333,1,3.3,0.3,0.3,0.7,0.5,0.458,0,0,,0.3,1,1.3,0.7,1.3,0,0.3,1,3.7
350,Eric Paschall\pascher01,PF,23,GSW,22,16,31.9,6.4,12.5,0.507,0.8,2.5,0.315,5.6,10.1,0.554,0.538,3.8,4.6,0.814,1.5,3.9,5.5,1.8,0.3,0.3,1.7,2,17.3
351,Patrick Patterson\pattepa01,PF,30,LAC,20,11,14.3,1.8,4.3,0.412,1.5,3.3,0.439,0.3,1,0.316,0.582,0.3,0.5,0.6,0.7,2.2,2.9,0.8,0.2,0.1,0.4,0.8,5.3
352,Justin Patton\pattoju01,C,22,OKC,2,0,4.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,0,0,,0,1,1,0,0,0,0.5,2,1
353,Chris Paul\paulch01,PG,34,OKC,20,20,30.7,4.8,10.8,0.447,1.6,4.3,0.376,3.2,6.5,0.492,0.521,3.9,4.4,0.886,0.3,3.9,4.2,6,1.6,0,1.9,2.4,15.1
354,Elfrid Payton\paytoel01,PG,25,NYK,4,3,25.5,2.8,7.3,0.379,1.3,2,0.625,1.5,5.3,0.286,0.466,1.3,1.5,0.833,0.8,2.3,3,3.8,2.5,0,1.8,2,8
355,Norvel Pelle\pelleno01,SF,26,PHI,1,0,13,0,0,,0,0,,0,0,,,3,4,0.75,0,2,2,1,0,4,2,3,3
356,Theo Pinson\pinsoth01,SG,24,BRK,12,0,15.1,1.8,6.4,0.286,0.7,3.1,0.216,1.2,3.3,0.35,0.338,0.7,0.8,0.889,0.4,1.4,1.8,2.6,0.5,0,1.5,1.4,5
357,Mason Plumlee\plumlma01,C,29,DEN,18,0,16.5,2.8,4.8,0.586,0,0.2,0,2.8,4.7,0.607,0.586,1.4,2.6,0.532,1.7,3.9,5.6,2.2,0.6,0.8,1.5,2.8,7.1
358,Vincent Poirier\poirivi01,C,26,BOS,7,0,4.6,0.6,1.3,0.444,0,0,,0.6,1.3,0.444,0.444,0.1,0.3,0.5,0.7,0.4,1.1,0.4,0.1,0.3,0.4,1,1.3
359,Jakob Pöltl\poeltja01,C,24,SAS,22,7,19,2.5,4.4,0.573,0,0,,2.5,4.4,0.573,0.573,0.7,1.3,0.552,2.3,3.9,6.2,1.5,0.6,1.3,1,1.9,5.7
360,Shamorie Ponds\pondssh01,PG,21,TOR,2,0,4,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0,0.5,0.5,1,0,0.5,0,1,2
361,Jordan Poole\poolejo01,SG,20,GSW,23,9,24.8,2.6,9.8,0.261,1.3,5.1,0.248,1.3,4.7,0.275,0.325,1.8,2.1,0.854,0.2,2.2,2.3,2.1,0.7,0.3,1.3,1.9,8.2
362,Kevin Porter\porteke02,SF,19,CLE,19,1,20.5,2.5,6.4,0.393,0.5,2.2,0.238,2,4.2,0.475,0.434,1,1.3,0.76,0.4,2.8,3.2,1.8,0.7,0.2,1.3,2.5,6.6
363,Michael Porter\portemi01,PF,21,DEN,10,0,9,1.5,3.4,0.441,0.2,1,0.2,1.3,2.4,0.542,0.471,0.5,0.8,0.625,0.8,1.5,2.3,0.4,0,0.3,0.6,1.3,3.7
364,Otto Porter\porteot01,SF,26,CHI,9,9,25.1,3.9,9.3,0.417,1.8,4.4,0.4,2.1,4.9,0.432,0.512,1.7,2.2,0.75,0.9,2.6,3.4,1.6,1,0.3,0.8,2.2,11.2
365,Bobby Portis\portibo01,C,24,NYK,21,2,21.8,3.5,8.8,0.4,1.1,2.9,0.383,2.4,6,0.408,0.462,0.7,1,0.7,1.7,4.2,5.9,1.1,0.7,0.3,1,1.7,8.8
366,Kristaps Porziņģis\porzikr01,PF,24,DAL,20,20,30.4,6,15.1,0.395,2.2,6.2,0.35,3.8,8.9,0.427,0.467,2.7,3.9,0.701,1.8,7.2,8.9,1.4,0.6,2.2,1.6,3,16.8
367,Dwight Powell\poweldw01,C,28,DAL,18,15,25.6,3.5,5.2,0.677,0.3,0.7,0.462,3.2,4.4,0.713,0.71,1.2,2.2,0.538,1.6,2.9,4.6,1.3,0.7,0.4,0.9,2.7,8.5
368,Norman Powell\powelno01,SG,26,TOR,20,11,28.5,4.8,10.2,0.471,1.9,4.9,0.381,3,5.4,0.551,0.561,1.9,2.3,0.844,0.5,3.6,4.1,1.6,0.9,0.4,1.4,1.8,13.4
369,Julius Randle\randlju01,PF,25,NYK,21,21,32.4,6.3,14,0.449,0.9,3.6,0.25,5.4,10.4,0.518,0.481,3.8,5.7,0.667,2.3,6.3,8.7,3.4,0.8,0.1,3.4,3,17.3
370,Cam Reddish\reddica01,SF,20,ATL,19,16,24.6,2.8,8.9,0.318,0.9,3.8,0.247,1.9,5.1,0.371,0.371,1.5,1.9,0.757,0.7,3,3.7,1.6,1,0.4,1.7,1.8,8.1
371,J.J. Redick\redicjj01,SG,35,NOP,20,16,28.7,4.8,10.9,0.438,3.4,7.4,0.459,1.4,3.5,0.391,0.594,2.2,2.6,0.843,0.2,3,3.2,2,0.5,0.3,1.3,1.6,15.1
372,Josh Richardson\richajo01,SG,26,PHI,16,16,32,5.8,12.8,0.456,2,5.2,0.386,3.8,7.6,0.504,0.534,2.5,3.1,0.8,0.6,2.8,3.4,3.6,1.1,0.6,2.3,2.9,16.1
373,Austin Rivers\riverau01,SG,27,HOU,20,1,24.8,3.1,7.3,0.421,1.4,4.2,0.325,1.7,3.1,0.548,0.514,1,1.4,0.714,0.8,2,2.7,1.4,0.5,0.2,0.7,2,8.5
